u,v,key,access,bicycle,busway,cycleway,foot,highway,lanes,lit,maxspeed,motor_vehicle,name,oneway,ref,service,sidewalk,smoothness,surface,tunnel,width,osmid,timestamp,version,tags,osm_type,geometry,length
7214467394,11271426328,0,,,,,yes,primary,3,yes,50,,Παναγή Τσαλδάρη,yes,ΕΟ56,,,,asphalt,,,280005152,1697624795,32,"{""visible"":false,""alt_name"":""\u03A0\u03B5\u03B9\u03C1\u03B1\u03B9\u03CE\u03C2"",""int_name"":""Panagi Tsaldari"",""old_name"":""\u03A0\u03B5\u03B9\u03C1\u03B1\u03B9\u03CE\u03C2"",""sidewalk:left"":""yes"",""sidewalk:right"":""separate""}",way,"LINESTRING (23.72661018371582 37.98342514038086, 23.72671508789063 37.98347091674805, 23.72686767578125 37.98353958129883)",25.908
10134034285,250699613,0,,,,,,tertiary,2,,,,Ιπποκράτους,yes,,,,,asphalt,,,259803254,1718172955,9,"{""visible"":false,""cycleway:both"":""no"",""int_name"":""Ippokratous"",""name:etymology:wikidata"":""Q5264""}",way,"LINESTRING (23.73508262634277 37.98251724243164, 23.73459815979004 37.98226547241211, 23.73410987854004 37.98203659057617, 23.73407554626465 37.98202133178711, 23.7339916229248 37.98197937011719)",112.815
10134034285,250699711,0,,yes,,,yes,secondary,2,yes,,yes,Σόλωνος,yes,,,,,asphalt,,,259803255,1666911249,27,"{""visible"":false,""horse"":""no"",""int_name"":""Solonos""}",way,"LINESTRING (23.73508262634277 37.98251724243164, 23.73506927490234 37.98253631591797, 23.73469161987305 37.98299407958984)",63.138
250699711,250708641,0,,yes,,,yes,secondary,2,yes,,yes,Σόλωνος,yes,,,,,asphalt,,,259803255,1666911249,27,"{""visible"":false,""horse"":""no"",""int_name"":""Solonos""}",way,"LINESTRING (23.73469161987305 37.98299407958984, 23.73436164855957 37.98339462280273, 23.73434829711914 37.98341369628906, 23.73430824279785 37.98346328735352)",62.062999999999995
250699711,250699973,0,,,,,,residential,1,yes,,,Μαυρομιχάλη,yes,,,,,asphalt,,5,634252646,1717096500,12,"{""visible"":false,""int_name"":""Mavromichali""}",way,"LINESTRING (23.73469161987305 37.98299407958984, 23.73470687866211 37.98300170898438, 23.73551559448242 37.9834098815918, 23.73555946350098 37.98343658447266)",90.60700000000001
250708641,250699973,0,,,,,,tertiary,"['2', '1']","[None, 'yes']","['30', None]",,"['Χαριλάου Τρικούπη', 'Ναυαρίνου']",yes,,,"[None, 'both']",,asphalt,,"[None, '6']","[601290888, 636757315]","[1666911249, 1716664942]","[9, 4]","['{""visible"":false,""int_name"":""Navarinou""}', '{""visible"":false,""int_name"":""Charilaou Trikoupi""}']",way,"LINESTRING (23.73430824279785 37.98346328735352, 23.73432540893555 37.98347091674805, 23.73490715026855 37.98376846313477, 23.73514175415039 37.98388671875, 23.73518943786621 37.98390960693359, 23.73555946350098 37.98343658447266)",153.598
250708641,250706958,0,,,,,,secondary,2,yes,,,Σόλωνος,yes,,,,,asphalt,,,601290889,1626695012,7,"{""visible"":false,""int_name"":""Solonos""}",way,"LINESTRING (23.73430824279785 37.98346328735352, 23.73425483703613 37.98352813720703, 23.73403167724609 37.98380661010742, 23.7340259552002 37.98381042480469, 23.73401069641113 37.98382949829102)",48.385
599116897,250699613,0,,,,,,secondary,2,yes,,,Ακαδημίας,yes,,,,,asphalt,,,260124786,1717427594,18,"{""visible"":false,""busway:right"":""lane"",""int_name"":""Akadimias""}",way,"LINESTRING (23.73361206054688 37.98244476318359, 23.73391342163086 37.98207473754883, 23.73397827148438 37.98199462890625, 23.7339916229248 37.98197937011719)",61.521
599116897,250699711,0,,,,,,residential,1,yes,,,Μαυρομιχάλη,yes,,,,,asphalt,,5,634252646,1717096500,12,"{""visible"":false,""int_name"":""Mavromichali""}",way,"LINESTRING (23.73361206054688 37.98244476318359, 23.73367881774902 37.98247528076172, 23.73464393615723 37.98297119140625, 23.73468017578125 37.98299026489258, 23.73469161987305 37.98299407958984)",112.645
2725672307,2725672310,0,private,,,,,service,,,,,,,,parking_aisle,,,asphalt,,,267092808,1657345472,3,"{""visible"":false}",way,"LINESTRING (23.73113250732422 37.98096084594727, 23.73110580444336 37.98099136352539, 23.73108863830566 37.98101043701172, 23.73107528686523 37.98102569580078)",8.783
